EmpID,Age,AgeGroup,Attrition,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,AttritionRate
1,19,18-25,No,Human Resources,24,1,Other,Male,Human Resources,4,10012,10k-15k,0,Yes,5,13,7,
2,53,46-55,No,Human Resources,15,5,Marketing,Male,Human Resources,2,7515,5k-10k,6,No,17,9,6,
3,23,18-25,No,Research & Development,12,5,Marketing,Male,Research Scientist,4,13449,10k-15k,8,Yes,24,5,17,
4,41,36-45,No,Research & Development,2,2,Marketing,Male,Research Director,2,19918,15k+,1,No,17,12,11,
5,40,36-45,No,Sales,22,1,Human Resources,Male,Sales Representative,2,7865,5k-10k,2,No,24,17,17,
6,38,36-45,No,Sales,26,3,Technical Degree,Female,Manager,1,2832,Upto 5k,3,No,13,14,12,
7,27,26-35,No,Human Resources,18,5,Marketing,Female,Manager,4,9679,5k-10k,5,Yes,8,8,15,
8,25,18-25,Yes,Sales,22,4,Human Resources,Male,Sales Executive,4,6008,5k-10k,6,No,33,16,17,
9,25,18-25,No,Sales,11,1,Marketing,Female,Manager,2,18595,15k+,7,Yes,16,17,5,
10,58,55+,No,Human Resources,7,2,Marketing,Male,Human Resources,1,10779,10k-15k,9,No,31,1,3,
11,33,26-35,No,Research & Development,3,1,Other,Female,Healthcare Representative,1,2898,Upto 5k,8,Yes,8,15,17,
12,51,46-55,No,Sales,25,2,Other,Female,Sales Representative,4,14865,10k-15k,5,No,33,13,3,
13,22,18-25,No,Sales,8,5,Medical,Male,Sales Executive,1,12078,10k-15k,0,Yes,4,1,10,
14,33,26-35,No,Sales,5,5,Human Resources,Female,Manager,2,10125,10k-15k,7,No,12,6,3,
15,40,36-45,No,Human Resources,24,1,Other,Male,Manager,1,14879,10k-15k,6,No,6,15,6,
16,46,46-55,Yes,Sales,15,2,Life Sciences,Female,Manager,1,5593,5k-10k,0,Yes,5,15,5,
17,48,46-55,No,Research & Development,6,4,Life Sciences,Female,Manufacturing Director,3,8004,5k-10k,7,No,27,25,15,
18,36,36-45,No,Sales,18,1,Other,Female,Sales Executive,1,8133,5k-10k,0,No,32,3,5,
19,23,18-25,No,Sales,22,2,Technical Degree,Male,Manager,2,7089,5k-10k,9,Yes,39,4,13,
20,34,26-35,No,Human Resources,13,2,Other,Female,Manager,4,7693,5k-10k,5,Yes,0,20,18,
21,52,46-55,No,Sales,12,1,Medical,Female,Sales Executive,3,7984,5k-10k,2,No,34,19,16,
22,53,46-55,No,Sales,5,3,Life Sciences,Male,Manager,2,10810,10k-15k,4,No,38,6,10,
23,58,55+,No,Sales,29,1,Life Sciences,Female,Manager,3,9650,5k-10k,0,Yes,21,8,8,
24,46,46-55,No,Sales,4,1,Other,Male,Manager,1,19077,15k+,5,Yes,27,8,1,
25,20,18-25,No,Research & Development,22,1,Marketing,Female,Healthcare Representative,2,12724,10k-15k,3,Yes,11,13,0,
26,39,36-45,No,Sales,26,1,Technical Degree,Male,Manager,4,14491,10k-15k,3,Yes,29,15,9,
27,19,18-25,No,Sales,28,1,Marketing,Female,Sales Executive,4,7328,5k-10k,8,No,1,7,8,
28,34,26-35,No,Sales,12,3,Technical Degree,Male,Manager,4,2253,Upto 5k,9,Yes,16,2,13,
29,52,46-55,No,Sales,22,3,Human Resources,Female,Manager,1,7456,5k-10k,4,No,26,20,12,
30,53,46-55,No,Human Resources,13,2,Human Resources,Female,Manager,4,5170,5k-10k,8,Yes,19,12,6,
31,56,55+,No,Research & Development,22,2,Human Resources,Female,Research Director,2,11559,10k-15k,1,No,32,29,10,
32,37,36-45,Yes,Sales,2,2,Technical Degree,Male,Sales Executive,4,8361,5k-10k,6,Yes,24,12,12,
33,59,55+,No,Sales,8,2,Other,Female,Sales Executive,1,1181,Upto 5k,8,Yes,7,6,4,
34,53,46-55,No,Research & Development,24,5,Technical Degree,Female,Research Director,2,11397,10k-15k,7,No,16,15,8,
35,58,55+,No,Human Resources,23,3,Medical,Female,Manager,3,8839,5k-10k,5,Yes,8,9,7,
36,31,26-35,No,Research & Development,18,4,Technical Degree,Male,Laboratory Technician,2,3104,Upto 5k,6,No,37,1,18,
37,18,18-25,No,Research & Development,28,4,Human Resources,Male,Manufacturing Director,4,12526,10k-15k,3,No,27,19,0,
38,60,55+,No,Research & Development,5,5,Human Resources,Male,Healthcare Representative,4,14248,10k-15k,9,Yes,5,10,4,
39,21,18-25,No,Research & Development,15,3,Marketing,Female,Laboratory Technician,3,9524,5k-10k,6,No,5,24,0,
40,40,36-45,No,Human Resources,21,1,Life Sciences,Male,Human Resources,2,8347,5k-10k,0,Yes,15,4,15,
41,54,46-55,No,Human Resources,25,3,Medical,Male,Human Resources,2,8142,5k-10k,4,Yes,37,1,9,
42,43,36-45,No,Human Resources,27,2,Life Sciences,Female,Manager,1,7498,5k-10k,9,Yes,22,4,13,
43,22,18-25,Yes,Human Resources,14,4,Life Sciences,Female,Manager,3,17579,15k+,7,Yes,27,11,16,
44,57,55+,No,Human Resources,27,5,Marketing,Female,Manager,2,18634,15k+,1,No,28,15,14,
45,39,36-45,No,Human Resources,6,4,Medical,Female,Manager,3,1940,Upto 5k,5,No,38,17,17,
46,30,26-35,No,Sales,16,5,Medical,Female,Manager,4,3805,Upto 5k,7,Yes,5,15,7,
47,37,36-45,No,Research & Development,12,4,Other,Female,Laboratory Technician,3,13092,10k-15k,7,No,19,16,7,
48,30,26-35,No,Sales,25,2,Medical,Male,Manager,4,11339,10k-15k,4,No,6,7,9,
49,29,26-35,No,Sales,5,3,Life Sciences,Male,Sales Representative,3,10904,10k-15k,2,No,6,0,18,
50,48,46-55,No,Research & Development,2,3,Technical Degree,Male,Manufacturing Director,1,15433,15k+,6,No,4,21,1,
51,54,46-55,No,Sales,4,5,Technical Degree,Male,Sales Executive,4,10956,10k-15k,7,No,19,5,13,
52,57,55+,No,Research & Development,4,2,Other,Male,Research Director,3,2973,Upto 5k,1,Yes,15,11,17,
53,18,18-25,No,Sales,16,3,Life Sciences,Male,Sales Executive,3,14386,10k-15k,4,No,4,14,8,
54,45,36-45,No,Human Resources,5,3,Medical,Male,Human Resources,1,4760,Upto 5k,2,No,38,34,9,
55,47,46-55,No,Research & Development,17,5,Technical Degree,Female,Research Scientist,1,10964,10k-15k,9,Yes,27,20,8,
56,32,26-35,No,Sales,25,3,Human Resources,Male,Sales Executive,2,19848,15k+,7,No,17,11,18,
57,23,18-25,No,Research & Development,11,1,Medical,Female,Manufacturing Director,4,16401,15k+,7,No,25,22,1,
58,38,36-45,Yes,Research & Development,25,4,Human Resources,Male,Research Scientist,4,9270,5k-10k,6,Yes,12,20,11,
59,58,55+,No,Human Resources,18,2,Marketing,Female,Manager,4,15484,15k+,1,Yes,40,3,7,
60,37,36-45,No,Human Resources,3,2,Life Sciences,Female,Human Resources,1,19049,15k+,2,No,18,0,8,
61,48,46-55,No,Research & Development,13,2,Human Resources,Male,Manufacturing Director,1,8986,5k-10k,4,No,21,29,8,
62,37,36-45,No,Sales,16,3,Marketing,Female,Sales Representative,4,17044,15k+,5,Yes,15,9,12,
63,20,18-25,No,Sales,26,4,Technical Degree,Male,Sales Representative,4,11426,10k-15k,0,Yes,32,30,10,
64,24,18-25,Yes,Sales,5,4,Other,Male,Sales Representative,1,18234,15k+,7,No,21,29,12,
65,39,36-45,No,Human Resources,21,4,Human Resources,Male,Human Resources,1,18485,15k+,3,No,14,5,13,
66,24,18-25,No,Sales,29,1,Life Sciences,Female,Manager,1,15538,15k+,4,No,23,10,4,
67,44,36-45,Yes,Sales,3,5,Technical Degree,Male,Manager,4,19544,15k+,9,Yes,14,11,8,
68,60,55+,No,Research & Development,22,5,Medical,Male,Healthcare Representative,4,1307,Upto 5k,5,No,40,27,8,
69,30,26-35,Yes,Research & Development,13,5,Marketing,Female,Healthcare Representative,3,13605,10k-15k,0,No,17,0,18,
70,56,55+,No,Human Resources,8,5,Marketing,Male,Human Resources,2,17276,15k+,9,No,8,18,3,
71,37,36-45,No,Human Resources,24,2,Life Sciences,Female,Human Resources,3,15444,15k+,6,Yes,12,2,17,
72,50,46-55,No,Research & Development,27,4,Marketing,Female,Research Director,1,9930,5k-10k,7,Yes,9,10,12,
73,23,18-25,No,Human Resources,4,4,Marketing,Female,Manager,4,13929,10k-15k,5,Yes,14,0,0,
74,57,55+,No,Human Resources,15,3,Other,Female,Manager,1,8253,5k-10k,2,Yes,2,4,15,
75,33,26-35,No,Sales,12,5,Technical Degree,Male,Sales Executive,4,18614,15k+,1,No,39,8,8,
76,41,36-45,No,Sales,8,3,Life Sciences,Female,Manager,3,8119,5k-10k,0,No,17,12,3,
77,60,55+,No,Research & Development,1,1,Marketing,Male,Research Scientist,2,7950,5k-10k,9,Yes,4,35,6,
78,32,26-35,No,Human Resources,20,1,Marketing,Male,Human Resources,2,11766,10k-15k,8,No,11,7,0,
79,40,36-45,No,Sales,6,3,Life Sciences,Male,Sales Executive,4,8796,5k-10k,8,Yes,4,30,14,
80,55,46-55,No,Research & Development,20,1,Other,Female,Research Director,4,4573,Upto 5k,0,Yes,30,25,13,
81,49,46-55,No,Human Resources,11,5,Medical,Male,Human Resources,2,15534,15k+,4,No,24,4,16,
82,50,46-55,No,Research & Development,4,5,Other,Male,Manufacturing Director,4,15096,15k+,7,Yes,26,6,14,
83,24,18-25,No,Research & Development,9,3,Medical,Female,Manufacturing Director,1,11241,10k-15k,1,Yes,5,27,3,
84,26,26-35,No,Human Resources,18,5,Marketing,Male,Manager,4,19231,15k+,5,No,3,3,9,
85,54,46-55,Yes,Research & Development,16,2,Life Sciences,Female,Research Scientist,3,17626,15k+,1,No,36,13,13,
86,56,55+,No,Human Resources,23,3,Marketing,Female,Human Resources,1,9763,5k-10k,2,Yes,36,1,2,
87,58,55+,No,Sales,7,4,Technical Degree,Female,Manager,3,2004,Upto 5k,2,No,19,5,18,
88,21,18-25,No,Human Resources,2,1,Marketing,Female,Human Resources,4,6098,5k-10k,7,No,26,10,6,
89,40,36-45,No,Human Resources,22,5,Technical Degree,Female,Human Resources,1,15087,15k+,3,No,38,3,0,
90,31,26-35,No,Sales,4,1,Technical Degree,Female,Sales Representative,2,5496,5k-10k,2,No,34,14,16,
91,22,18-25,No,Human Resources,15,1,Marketing,Female,Manager,4,14011,10k-15k,6,No,7,2,0,
92,57,55+,Yes,Research & Development,28,1,Medical,Female,Laboratory Technician,4,16076,15k+,8,Yes,25,19,10,
93,28,26-35,No,Sales,17,5,Medical,Female,Sales Representative,3,3502,Upto 5k,2,Yes,6,9,8,
94,56,55+,Yes,Sales,25,4,Technical Degree,Female,Sales Executive,3,6009,5k-10k,5,Yes,28,4,15,
95,35,26-35,No,Research & Development,10,4,Technical Degree,Male,Healthcare Representative,1,2840,Upto 5k,5,No,4,5,16,
96,55,46-55,No,Research & Development,26,5,Other,Male,Manufacturing Director,3,19163,15k+,9,No,32,2,1,
97,39,36-45,No,Research & Development,2,2,Other,Female,Research Scientist,4,3763,Upto 5k,8,Yes,23,23,9,
98,39,36-45,No,Research & Development,3,3,Life Sciences,Female,Manufacturing Director,3,2715,Upto 5k,4,Yes,21,5,18,
99,40,36-45,Yes,Human Resources,23,1,Marketing,Female,Human Resources,3,11165,10k-15k,2,Yes,27,25,11,
100,37,36-45,No,Sales,25,4,Medical,Male,Sales Representative,2,6906,5k-10k,2,Yes,18,6,16,
101,60,55+,Yes,Human Resources,13,2,Medical,Male,Human Resources,2,12035,10k-15k,7,Yes,26,23,7,
102,36,36-45,No,Research & Development,10,4,Medical,Female,Research Director,4,15710,15k+,7,No,24,14,16,
103,30,26-35,Yes,Research & Development,16,3,Human Resources,Male,Laboratory Technician,1,5535,5k-10k,4,Yes,10,16,14,
104,45,36-45,No,Human Resources,29,3,Life Sciences,Female,Human Resources,1,4005,Upto 5k,6,No,15,14,2,
105,19,18-25,No,Research & Development,21,3,Medical,Male,Laboratory Technician,1,11442,10k-15k,4,No,8,6,14,
106,23,18-25,Yes,Human Resources,5,5,Other,Female,Human Resources,1,1622,Upto 5k,4,Yes,19,7,1,
107,58,55+,Yes,Sales,29,4,Human Resources,Male,Sales Representative,2,15978,15k+,2,No,27,0,11,
108,44,36-45,No,Sales,12,1,Human Resources,Male,Manager,4,7137,5k-10k,7,Yes,40,5,11,
109,40,36-45,Yes,Research & Development,22,1,Human Resources,Female,Research Scientist,2,3213,Upto 5k,0,No,34,21,5,
110,48,46-55,Yes,Human Resources,25,4,Life Sciences,Female,Manager,2,6972,5k-10k,0,Yes,2,8,9,
111,52,46-55,Yes,Human Resources,21,2,Marketing,Female,Manager,1,16512,15k+,5,No,7,16,13,
112,42,36-45,No,Research & Development,16,3,Human Resources,Female,Manufacturing Director,1,12109,10k-15k,6,Yes,27,11,5,
113,38,36-45,No,Human Resources,10,3,Technical Degree,Female,Manager,2,4361,Upto 5k,7,No,28,2,11,
114,35,26-35,No,Human Resources,13,3,Human Resources,Male,Manager,1,2879,Upto 5k,2,No,2,4,2,
115,41,36-45,No,Sales,2,5,Medical,Female,Manager,3,12866,10k-15k,5,No,4,24,4,
116,43,36-45,No,Human Resources,4,1,Other,Male,Manager,4,11301,10k-15k,8,No,35,7,8,
117,31,26-35,No,Research & Development,5,1,Technical Degree,Male,Manufacturing Director,4,10357,10k-15k,1,No,22,4,17,
118,37,36-45,No,Human Resources,12,5,Medical,Male,Manager,2,6161,5k-10k,2,Yes,31,1,11,
119,47,46-55,No,Human Resources,3,1,Marketing,Female,Manager,4,19076,15k+,8,No,26,8,2,
120,59,55+,No,Sales,17,3,Medical,Male,Sales Representative,2,3430,Upto 5k,6,Yes,7,28,4,
121,28,26-35,No,Research & Development,17,3,Life Sciences,Female,Laboratory Technician,2,11572,10k-15k,8,No,8,14,9,
122,50,46-55,No,Human Resources,5,2,Other,Female,Human Resources,1,6525,5k-10k,0,Yes,2,36,8,
123,54,46-55,No,Human Resources,16,5,Marketing,Female,Human Resources,4,14650,10k-15k,3,No,19,29,2,
124,28,26-35,No,Human Resources,7,3,Human Resources,Male,Human Resources,3,15404,15k+,5,No,25,8,11,
125,38,36-45,Yes,Human Resources,15,2,Medical,Male,Human Resources,1,8921,5k-10k,4,No,39,26,7,
126,54,46-55,No,Sales,16,5,Technical Degree,Female,Sales Representative,3,11247,10k-15k,7,Yes,5,12,16,
127,31,26-35,Yes,Research & Development,16,5,Other,Female,Laboratory Technician,3,12563,10k-15k,8,Yes,6,3,4,
128,43,36-45,No,Research & Development,19,5,Medical,Female,Healthcare Representative,3,12991,10k-15k,1,No,32,2,17,
129,57,55+,No,Research & Development,13,3,Marketing,Female,Research Director,2,4893,Upto 5k,3,No,32,2,1,
