EmpID,Age,Attrition,DistanceFromHome,Education,Gender,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,DepartmentID,EducationFieldID,JobRoleID,AgeGroupID,SalarySlabID
1,55,No,29,2,Female,3,3833,6,No,18,13,5,1,1,1,1,1
2,37,No,4,2,Male,3,2888,5,No,4,0,0,2,2,2,2,1
3,33,Yes,5,4,Male,4,1652,0,Yes,17,8,8,1,2,1,3,1
4,45,Yes,29,4,Male,3,3561,4,No,16,2,1,1,3,1,2,1
5,37,No,5,1,Male,2,2127,9,No,19,7,0,2,4,3,2,1
6,34,Yes,16,4,Male,1,10768,7,No,18,12,0,1,2,4,3,3
7,28,Yes,13,3,Male,2,1000,8,No,7,7,7,3,1,3,3,1
8,26,No,14,4,Male,3,10252,0,No,20,3,3,2,4,4,3,3
9,43,No,12,3,Female,2,5232,6,No,12,10,4,2,3,5,2,2
10,33,No,24,1,Female,1,16186,9,Yes,15,0,0,3,2,4,3,4
11,37,No,12,3,Male,3,3984,9,No,10,10,10,2,2,3,2,1
12,51,No,9,2,Female,4,1000,7,No,8,4,4,2,5,6,1,1
13,26,No,11,5,Female,4,6372,3,No,5,4,4,3,2,7,3,2
14,47,Yes,18,4,Female,4,3535,8,Yes,7,3,1,2,1,7,1,1
15,40,No,24,1,Female,1,1717,2,No,19,7,3,2,1,2,2,1
16,39,No,1,4,Male,2,15215,4,Yes,12,8,8,2,3,8,2,4
17,54,No,17,3,Male,3,1660,2,Yes,4,4,4,1,3,3,1,1
18,26,Yes,11,3,Male,1,3524,3,No,9,2,2,2,1,1,3,1
19,54,No,1,5,Female,2,1000,9,No,16,3,3,1,2,3,1,1
20,31,No,14,1,Female,1,15723,0,No,20,1,1,2,1,9,3,4
21,46,No,12,2,Female,1,4544,6,No,18,1,1,2,1,2,1,1
22,33,No,1,3,Female,3,10836,4,No,4,1,1,1,2,4,3,3
23,29,No,15,4,Male,1,5599,1,Yes,9,4,3,2,2,2,3,2
24,50,No,29,3,Male,3,7599,7,No,7,7,7,2,3,6,1,2
25,21,No,9,4,Female,4,6437,2,No,8,8,8,1,2,3,4,2
26,37,No,27,1,Male,3,5295,5,No,8,1,1,1,1,2,2,2
